#Zotu ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession_description,Accession no.,evalue,per. Ident,taxid
Zotu1,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.06E-172,100,863246
Zotu2,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma teixeirae,"Trypanosoma teixeirae 18S ribosomal RNA gene, partial sequence",KT907061.1,3.7E-167,100,1826986
Zotu3,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis breed flagellate small subunit ribosomal RNA gene, partial sequence",KY859412.1,1.35E-125,100,312471
Zotu4,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Leishmania  ,Leishmania sp. AM-2004,"Leishmania sp. AM-2004 18S ribosomal RNA gene, partial sequence",AY495829.1,1.58E-150,100,268293
Zotu5,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma sp. (lewisi-like),"Trypanosoma sp. isolate BR042 small subunit ribosomal RNA gene, partial sequence",MN512227.1,1.26E-156,100,5696
Zotu6,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo saltans,"Bodo saltans strain HFCC323 18S ribosomal RNA gene, partial sequence",DQ207575.1,8.33E-118,97.628,75058
Zotu7,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,1.2E-100,97.717,351716
Zotu8,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,2.57E-107,99.543,351716
Zotu9,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma sp. (cyclops-like),"Trypanosoma sp. TL.AV.43 cl.101E partial 18S rRNA gene, isolate TL.AV.43 cl.101E",AJ620571.1,1.56E-140,98.611,5696
Zotu10,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Rhynchomonadidae,Rhynchobodo ,Rhynchobodo sp. Sourhope,"Rhynchobodo sp. Sourhope 18S ribosomal RNA gene, partial sequence",AY490212.1,1.31E-67,97.468,266814
Zotu11,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma sp. (cyclops-like),"Trypanosoma sp. TL.AV.43 cl.101E partial 18S rRNA gene, isolate TL.AV.43 cl.101E",AJ620571.1,9.4E-143,98.966,5696
Zotu12,,,,,,,,,,,,
Zotu13,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis breed flagellate small subunit ribosomal RNA gene, partial sequence",KY859412.1,6.28E-124,99.598,312471
Zotu14,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo saltans,"Bodo saltans strain HFCC323 18S ribosomal RNA gene, partial sequence",DQ207575.1,8.22E-128,100,75058
